"s","d","studage","lectage","service","dept","y"
31,1521,8,5,0,12,5
31,1676,8,6,1,6,4
31,1701,8,5,1,2,5
31,1771,8,6,1,6,2
31,1776,8,3,0,12,3
31,1816,8,5,0,12,5
31,1827,8,6,1,6,3
31,1887,8,6,1,6,4
31,2075,8,3,0,12,3
31,2083,8,6,1,6,4
32,34,6,6,1,14,2
32,119,6,6,0,3,4
32,240,6,6,0,3,4
32,443,6,6,0,3,2
32,474,6,6,1,1,4
32,538,6,6,1,11,1
32,575,6,5,0,3,3
32,621,6,6,1,2,2
32,638,6,6,0,3,3
32,718,6,6,0,3,2
32,722,6,6,0,3,2
32,944,6,6,1,11,4
32,1244,6,6,0,3,3
32,1263,6,5,1,14,4
32,1382,6,2,0,3,3
32,1393,6,6,0,3,4
32,1407,6,2,0,3,4
32,1482,6,6,0,3,3
32,1565,6,3,0,3,5
32,1582,6,3,1,2,4
32,1632,6,5,0,3,2
32,1686,6,3,1,8,5
32,1709,6,6,1,11,3
32,1711,6,3,0,3,3
32,1718,6,3,1,8,3
32,1781,6,2,0,3,4
32,1881,6,6,0,3,3
32,1900,6,3,1,8,1
32,1907,6,6,1,14,3
32,1919,6,5,0,3,3
32,2050,6,3,0,3,3
32,2147,6,6,1,14,2
33,6,8,4,0,12,3
33,41,8,6,1,15,1
33,67,8,3,1,4,3
33,139,8,3,0,12,2
33,202,8,4,0,12,2
33,204,8,5,0,12,1
33,205,8,4,0,12,1
33,206,8,4,1,4,4
33,252,8,6,1,6,5
33,260,8,5,0,12,4
33,361,8,3,0,12,4
33,363,8,6,1,6,4
33,389,8,3,1,6,5
33,401,8,6,1,4,2
33,436,8,6,0,12,2
33,440,8,3,0,12,3
33,446,8,6,1,6,2
33,454,8,5,1,6,1
33,563,8,6,1,15,3
33,593,8,5,0,12,4
33,602,8,6,0,12,3
33,613,8,4,1,8,1
33,623,8,3,0,12,5
33,675,8,3,0,12,2
33,687,8,4,0,12,3
33,692,8,3,0,12,4
33,736,8,4,1,8,1
33,762,8,3,0,12,1
33,787,8,3,0,12,4
33,827,8,5,0,12,5
33,828,8,4,1,4,4
33,838,8,6,0,12,2
33,883,8,6,1,4,5
33,945,8,6,1,4,2
33,947,8,4,0,12,5
33,964,8,4,1,8,3
33,973,8,6,1,4,4
33,987,8,5,0,12,2
33,1030,8,2,1,6,4
33,1038,8,5,0,12,1
33,1086,8,6,1,6,4
33,1126,8,3,1,8,1
33,1178,8,3,1,6,4
33,1191,8,1,0,12,1
33,1194,8,3,0,12,2
33,1201,8,4,0,12,1
33,1281,8,6,1,6,5
33,1284,8,4,1,4,5
33,1314,8,5,0,12,5
33,1412,8,3,0,12,4
33,1513,8,3,0,12,5
33,1521,8,5,0,12,2
33,1536,8,6,1,11,1
33,1537,8,3,0,12,3
33,1546,8,3,1,6,4
33,1575,8,1,0,12,4
33,1593,8,3,0,12,3
33,1597,8,3,0,12,5
33,1607,8,4,1,4,3
33,1629,8,6,1,6,3
33,1668,8,4,0,12,3
33,1686,8,3,1,8,4
33,1701,8,5,1,2,3
33,1729,8,6,0,12,2
33,1736,8,6,0,12,3
33,1745,8,3,1,6,3
33,1776,8,5,0,12,4
33,1780,8,6,1,11,2
33,1816,8,5,0,12,1
33,1841,8,4,0,12,2
33,1959,8,1,1,6,2
33,2019,8,4,0,12,4
33,2053,8,6,1,6,2
34,90,4,3,1,9,4
34,171,4,6,0,14,2
34,259,4,3,0,14,2
34,283,4,5,0,14,4
34,375,4,6,1,1,3
34,385,4,4,0,14,5
34,438,4,6,1,1,3
34,555,4,4,0,14,4
34,612,4,3,0,14,3
34,620,4,4,0,14,3
34,824,4,5,0,14,4
34,989,4,5,0,14,2
34,1087,4,5,1,1,5
34,1120,4,5,0,14,2
34,1316,4,5,0,14,2
34,1383,4,5,0,14,2
34,2052,4,4,0,14,1
34,2147,4,6,0,14,4
35,24,6,2,0,4,3
35,67,6,6,0,4,4
35,79,6,6,0,4,5
35,150,6,6,1,8,3
35,217,6,5,0,4,4
35,230,6,6,0,4,2
35,296,6,6,1,11,3
35,307,6,6,1,2,2
35,313,6,5,0,4,2
35,526,6,6,1,7,3
35,554,6,6,1,6,4
35,588,6,3,0,4,1
35,603,6,6,1,8,2
35,672,6,2,1,1,3
35,676,6,2,0,4,5
35,682,6,5,0,4,1
35,732,6,5,1,8,4
35,737,6,6,0,4,2
35,827,6,6,1,12,3
35,900,6,6,1,7,1
35,919,6,6,0,4,3
35,972,6,2,0,4,2
35,1028,6,5,0,4,3
35,1126,6,6,1,8,1
35,1138,6,5,1,7,1
35,1185,6,6,0,4,1
35,1337,6,3,1,7,1
35,1464,6,5,0,4,4
35,1554,6,5,0,4,1
35,1594,6,6,0,4,5
35,1607,6,6,0,4,1
35,1739,6,6,1,3,4
35,1802,6,5,1,7,5
35,1808,6,5,0,4,4
35,1843,6,2,0,4,5
35,1880,6,6,1,6,1
35,1910,6,6,1,2,4
35,1920,6,5,1,10,2
35,1975,6,5,0,4,4
35,1998,6,6,0,4,2
35,2026,6,6,1,8,4
35,2077,6,6,0,4,2
35,2153,6,5,1,7,1
36,19,8,6,0,15,5
36,31,8,2,0,15,2
36,37,8,3,0,15,5
36,41,8,5,0,15,4
36,67,8,4,1,4,3
36,112,8,2,0,15,4
36,137,8,5,1,4,3
36,249,8,3,0,15,5
36,262,8,4,0,15,2
36,349,8,2,0,15,3
36,352,8,3,0,15,2
36,503,8,6,0,15,1
36,527,8,2,0,15,4
36,570,8,5,0,15,4
36,584,8,6,0,15,3
36,595,8,6,0,15,3
36,603,8,4,1,8,5
36,630,8,6,0,15,5
36,684,8,4,0,15,4
36,888,8,2,0,15,4
36,897,8,2,0,15,3
36,903,8,2,0,15,5
36,1017,8,6,0,15,2
36,1026,8,2,0,15,4
36,1083,8,4,0,15,5
36,1185,8,4,1,4,5
36,1266,8,4,0,15,3
36,1315,8,3,0,15,3
36,1323,8,6,1,2,4
36,1395,8,3,0,15,4
36,1396,8,3,1,1,5
36,1404,8,6,0,15,3
36,1495,8,2,0,15,4
36,1499,8,2,0,15,4
36,1558,8,6,0,15,5
36,1561,8,4,0,15,5
36,1574,8,3,0,15,5
36,1576,8,1,0,15,4
36,1591,8,5,1,4,4
36,1683,8,2,0,15,5
36,1695,8,2,0,15,3
36,1699,8,2,0,15,3
36,1782,8,5,1,4,5
36,1816,8,5,1,12,4
36,1844,8,4,0,15,2
36,1854,8,3,0,15,1
36,1874,8,2,0,15,3
36,1898,8,6,0,15,4
36,1948,8,6,0,15,3
36,1978,8,3,0,15,3
36,2026,8,6,1,8,4
36,2055,8,5,1,12,5
36,2102,8,5,0,15,3
37,8,6,3,0,12,4
37,56,6,3,0,12,3
37,112,6,5,1,15,5
37,139,6,6,0,12,3
37,202,6,4,0,12,4
37,204,6,6,0,12,3
37,223,6,5,0,12,2
37,260,6,6,0,12,3
37,335,6,3,0,12,5
37,361,6,5,0,12,5
37,375,6,5,1,1,5
37,440,6,4,0,12,4
37,454,6,6,1,6,2
37,468,6,3,0,12,3
37,593,6,6,0,12,5
37,623,6,5,0,12,5
37,686,6,5,1,1,3
37,687,6,6,0,12,2
37,692,6,4,0,12,5
37,781,6,6,1,4,4
37,787,6,6,0,12,4
37,827,6,6,0,12,5
37,852,6,5,0,12,3
37,883,6,6,1,4,5
37,945,6,6,1,4,5
37,973,6,6,1,4,5
37,987,6,6,0,12,2
37,1030,6,6,1,6,2
37,1038,6,6,0,12,2
37,1191,6,3,0,12,2
37,1255,6,6,0,12,4
37,1281,6,6,1,6,2
37,1314,6,6,0,12,3
37,1411,6,3,0,12,4
37,1468,6,6,1,11,4
37,1471,6,5,1,6,5
37,1521,6,6,0,12,5
37,1575,6,5,0,12,4
37,1597,6,5,0,12,4
37,1629,6,6,1,6,4
37,1673,6,3,1,1,4
37,1718,6,5,1,8,4
37,1736,6,6,0,12,3
37,1744,6,4,0,12,2
37,1776,6,6,0,12,3
37,1816,6,6,0,12,5
37,1841,6,6,0,12,3
37,1904,6,5,1,1,5
37,1923,6,6,0,12,1
37,1948,6,6,1,15,5
37,1959,6,5,1,6,1
37,1964,6,3,0,12,5
37,2015,6,6,0,12,4
37,2053,6,6,1,6,5
37,2070,6,6,1,2,2
38,98,8,2,1,14,2
38,119,8,6,0,3,3
38,443,8,5,0,3,3
38,460,8,5,0,3,4
38,477,8,6,1,8,3
38,538,8,6,1,11,4
38,575,8,5,0,3,1
38,621,8,6,1,2,5
38,638,8,6,0,3,3
38,718,8,5,0,3,5
38,761,8,6,1,8,5
38,934,8,4,0,3,5
38,944,8,6,1,11,4
38,1176,8,4,0,3,4
38,1244,8,6,0,3,5
38,1382,8,3,0,3,1
38,1709,8,6,1,11,3
38,1711,8,6,0,3,5
38,1781,8,4,0,3,5
38,1881,8,5,0,3,2
38,1919,8,5,0,3,5
38,2147,8,6,1,14,4
39,82,2,3,0,9,4
39,182,2,3,1,14,5
39,197,2,3,0,9,5
39,298,2,3,0,9,5
39,305,2,3,0,9,1
39,505,2,3,0,9,5
39,624,2,4,0,9,3
39,1207,2,3,0,9,5
39,2100,2,3,0,9,4
40,47,8,4,0,2,2
40,65,8,6,0,2,1
40,66,8,5,1,11,4
40,97,8,3,0,2,3
40,157,8,2,1,11,4
40,269,8,3,0,2,2
40,314,8,6,1,11,4
40,366,8,6,1,11,3
40,501,8,5,0,2,5
40,603,8,6,1,8,1
40,621,8,4,0,2,4
40,866,8,6,0,2,2
40,1049,8,6,0,2,3
40,1238,8,5,0,2,4
40,1349,8,2,0,2,5
40,1504,8,6,1,11,3
40,1536,8,6,1,11,2
40,1564,8,5,0,2,4
40,1809,8,4,0,2,1
40,1840,8,6,1,11,5
40,2002,8,6,1,8,4
40,2132,8,6,1,8,5
41,67,8,6,0,4,4
41,137,8,6,0,4,3
41,150,8,6,1,8,5
41,217,8,6,0,4,2
41,307,8,6,1,2,5
41,323,8,3,1,10,5
41,526,8,6,1,7,5
41,613,8,6,1,8,2
41,672,8,6,1,1,4
41,676,8,4,0,4,5
41,682,8,6,0,4,2
41,688,8,6,1,10,5
41,737,8,6,0,4,5
41,781,8,6,0,4,4
41,806,8,6,0,4,5
41,964,8,6,1,8,3
41,1027,8,6,0,4,3
41,1028,8,6,0,4,5
41,1185,8,6,0,4,4
41,1186,8,6,0,4,5
41,1238,8,6,1,2,4
41,1241,8,6,0,4,3
41,1254,8,5,0,4,3
41,1346,8,5,0,4,2
41,1464,8,6,0,4,4
41,1491,8,6,1,10,5
41,1514,8,3,1,3,5
41,1554,8,6,0,4,1
41,1594,8,6,0,4,2
41,1607,8,6,0,4,2
41,1739,8,6,1,3,5
41,1750,8,6,1,2,4
41,1802,8,6,1,7,2
41,1808,8,6,0,4,5
41,1843,8,4,0,4,2
41,1920,8,6,1,10,3
41,1975,8,6,0,4,2
41,1984,8,6,1,10,1
41,2087,8,6,1,3,1
41,2110,8,6,0,4,5
41,2153,8,6,1,7,2
42,67,6,3,1,4,1
42,140,6,6,0,10,3
42,147,6,6,1,4,3
42,150,6,6,1,8,4
42,230,6,6,1,4,3
42,323,6,6,0,10,2
42,350,6,6,1,8,2
42,382,6,3,0,10,3
42,444,6,3,0,10,3
42,529,6,2,1,4,2
42,603,6,3,1,8,5
42,647,6,6,1,12,2
42,688,6,2,0,10,1
42,695,6,3,0,10,2
42,979,6,6,0,10,3
42,1138,6,3,1,7,2
42,1185,6,6,1,4,1
42,1438,6,3,1,4,1
42,1449,6,6,1,4,4
42,1491,6,6,0,10,3
42,1502,6,2,1,6,1
42,1594,6,6,1,4,5
42,1596,6,3,0,10,2
42,1619,6,3,1,4,2
42,1749,6,2,0,10,1
42,1782,6,6,1,4,2
42,1939,6,6,1,3,4
42,2064,6,3,0,10,2
42,2084,6,2,0,10,4
42,2085,6,2,1,3,3
42,2121,6,6,1,2,3
43,1,6,4,0,15,4
43,19,6,6,0,15,4
43,26,6,6,0,15,4
43,41,6,5,0,15,3
43,67,6,4,1,4,3
43,112,6,2,0,15,5
43,155,6,2,0,15,5
43,195,6,3,0,15,1
43,249,6,5,0,15,2
43,262,6,6,0,15,4
43,352,6,2,0,15,3
43,354,6,3,0,15,3
43,455,6,3,0,15,3
43,459,6,3,0,15,5
43,489,6,3,0,15,3
43,503,6,6,0,15,4
43,527,6,2,0,15,5
43,570,6,5,0,15,5
43,584,6,6,0,15,1
43,595,6,6,0,15,3
43,603,6,3,1,8,5
43,630,6,6,0,15,4
43,684,6,4,0,15,2
43,784,6,4,0,15,2
43,897,6,2,0,15,1
43,903,6,2,0,15,4
43,973,6,6,1,4,1
43,1017,6,6,0,15,2
43,1026,6,2,0,15,3
43,1137,6,5,0,15,3
43,1185,6,4,1,4,1
43,1266,6,2,0,15,3
43,1314,6,6,1,12,4
43,1315,6,2,0,15,3
43,1323,6,6,1,2,3
43,1364,6,3,1,8,5
43,1395,6,2,0,15,5
43,1404,6,6,0,15,2
43,1499,6,2,0,15,4
43,1558,6,2,0,15,3
43,1574,6,6,0,15,4
43,1576,6,2,0,15,5
43,1588,6,5,0,15,4
43,1591,6,5,1,4,3
43,1667,6,3,0,15,2
43,1683,6,2,0,15,3
43,1695,6,2,0,15,3
43,1699,6,5,0,15,2
43,1731,6,4,0,15,4
43,1736,6,6,1,12,2
43,1782,6,4,1,4,3
43,1844,6,4,0,15,4
43,1854,6,5,0,15,1
43,1874,6,5,0,15,5
43,1898,6,6,0,15,1
43,1948,6,6,0,15,2
43,1978,6,3,0,15,3
43,2009,6,3,0,15,2
43,2021,6,6,0,15,1
43,2026,6,6,1,8,3
43,2055,6,6,1,12,3
43,2102,6,6,0,15,1
44,139,6,6,0,12,3
44,202,6,6,0,12,3
44,204,6,6,0,12,5
44,260,6,6,0,12,1
44,294,6,4,0,12,1
44,361,6,6,0,12,4
44,401,6,4,1,4,5
44,440,6,6,0,12,3
44,454,6,6,1,6,3
44,477,6,6,1,8,2
44,593,6,6,0,12,5
44,613,6,3,1,8,1
44,687,6,6,0,12,1
44,692,6,6,0,12,5
44,751,6,4,0,12,3
44,761,6,6,1,8,3
44,778,6,5,1,4,5
44,787,6,6,0,12,2
44,826,6,6,0,12,2
44,827,6,6,0,12,4
44,883,6,5,1,4,5
44,888,6,5,1,15,5
44,897,6,3,1,15,5
44,945,6,5,1,4,4
44,964,6,3,1,8,2
44,973,6,5,1,4,2
44,987,6,6,0,12,3
44,1019,6,5,1,8,4
44,1030,6,4,1,6,3
44,1038,6,6,0,12,3
44,1191,6,3,0,12,2
44,1274,6,6,1,8,5
44,1281,6,6,1,6,1
44,1314,6,6,0,12,3
44,1379,6,4,1,4,3
44,1468,6,6,1,11,1
44,1471,6,3,1,6,5
44,1495,6,4,1,15,5
44,1513,6,5,0,12,3
44,1521,6,6,0,12,5
44,1537,6,5,0,12,5
44,1575,6,3,0,12,3
44,1629,6,6,1,6,4
44,1736,6,6,0,12,3
44,1776,6,6,0,12,4
44,1816,6,6,0,12,1
44,1841,6,6,0,12,3
44,1959,6,3,1,6,5
44,2009,6,3,1,15,2
44,2053,6,6,1,6,4
44,2070,6,6,1,2,1
44,2099,6,6,1,4,3
45,14,6,2,0,12,3
45,139,6,3,0,12,3
45,204,6,5,0,12,3
45,205,6,2,0,12,4
45,260,6,5,0,12,4
45,281,6,6,1,6,4
45,304,6,2,1,6,2
45,361,6,3,0,12,4
45,367,6,6,1,6,2
45,436,6,2,0,12,5
45,446,6,2,1,6,5
45,467,6,2,0,12,5
45,563,6,6,1,15,2
45,602,6,2,0,12,1
45,675,6,3,0,12,4
45,687,6,2,0,12,3
45,702,6,5,1,6,4
45,735,6,2,0,12,1
45,742,6,2,0,12,3
45,762,6,3,0,12,1
45,787,6,3,0,12,4
45,827,6,5,0,12,3
45,838,6,6,0,12,1
45,936,6,5,1,6,4
45,945,6,6,1,4,4
45,947,6,2,0,12,4
45,1059,6,6,1,6,2
45,1097,6,5,1,6,3
45,1173,6,5,1,6,2
45,1194,6,3,0,12,5
45,1201,6,2,0,12,1
45,1219,6,6,1,6,3
45,1246,6,3,0,12,1
45,1265,6,6,1,6,2
45,1274,6,6,1,8,4
45,1281,6,6,1,6,2
45,1314,6,5,0,12,3
45,1412,6,2,0,12,5
45,1431,6,3,0,12,3
45,1468,6,6,1,11,2
45,1492,6,6,1,11,1
45,1570,6,3,0,12,4
45,1593,6,3,0,12,2
45,1597,6,3,0,12,4
45,1629,6,5,1,6,4
45,1668,6,2,0,12,3
45,1676,6,6,1,6,3
45,1687,6,5,1,6,2
45,1701,6,5,1,2,3
45,1771,6,6,1,6,4
45,1776,6,5,0,12,2
45,1816,6,5,0,12,4
45,1827,6,6,1,6,5
45,1841,6,2,0,12,5
45,1887,6,6,1,6,2
45,1995,6,3,0,12,1
45,2019,6,2,0,12,4
45,2053,6,5,1,6,3
45,2083,6,6,1,6,4
46,6,8,6,0,12,1
46,14,8,6,0,12,5
46,139,8,3,0,12,4
46,204,8,1,0,12,4
46,260,8,1,0,12,2
46,304,8,6,1,6,2
46,361,8,3,0,12,3
46,436,8,4,0,12,2
46,467,8,6,0,12,3
46,563,8,6,1,15,2
46,593,8,1,0,12,3
46,602,8,4,0,12,5
46,675,8,3,0,12,4
46,687,8,2,0,12,3
46,736,8,3,1,8,4
46,742,8,4,0,12,5
46,762,8,3,0,12,1
46,787,8,3,0,12,2
46,1194,8,3,0,12,2
46,1201,8,4,0,12,5
46,1246,8,3,0,12,3
46,1412,8,3,0,12,3
46,1431,8,3,0,12,3
46,1570,8,3,0,12,3
46,1593,8,3,0,12,2
46,1597,8,3,0,12,3
46,1841,8,6,0,12,3
46,1995,8,3,0,12,3
46,2019,8,2,0,12,4
46,2075,8,1,0,12,5
47,15,6,6,0,7,3
47,64,6,3,0,7,4
47,72,6,6,1,2,3
47,126,6,3,0,7,5
47,238,6,6,0,7,4
47,287,6,5,0,7,5
47,296,6,6,1,11,5
47,548,6,6,0,7,3
47,603,6,4,1,8,4
47,613,6,5,1,8,3
47,616,6,3,0,7,5
47,690,6,4,0,7,3
47,693,6,6,1,2,5
47,736,6,5,1,8,4
47,855,6,4,0,7,3
47,858,6,3,0,7,5
47,900,6,6,0,7,4
47,911,6,5,0,7,4
47,922,6,4,0,7,5
47,964,6,5,1,8,4
47,986,6,4,0,7,5
47,1036,6,3,0,7,3
47,1195,6,6,0,7,4
47,1262,6,4,0,7,3
47,1277,6,3,0,7,5
47,1330,6,4,0,7,3
47,1437,6,3,1,10,1
47,1466,6,6,0,7,2
47,1487,6,6,0,7,3
47,1554,6,5,1,4,5
47,1579,6,5,0,7,3
47,1649,6,5,0,7,5
47,1687,6,4,1,6,3
47,1725,6,6,0,7,3
47,1802,6,6,0,7,3
47,1805,6,4,0,7,5
47,1850,6,6,0,7,4
47,1864,6,6,0,7,4
47,1866,6,6,0,7,5
47,1946,6,3,0,7,5
47,1982,6,4,0,7,5
47,2004,6,4,0,7,5
47,2128,6,4,0,7,5
48,19,8,5,1,15,3
48,24,8,2,0,4,2
48,27,8,6,1,6,3
48,67,8,6,0,4,5
48,132,8,5,0,4,4
48,137,8,6,0,4,2
48,150,8,6,1,8,4
48,217,8,5,0,4,4
48,260,8,6,1,12,5
48,296,8,6,1,11,4
48,554,8,6,1,6,2
48,591,8,5,0,4,5
48,603,8,6,1,8,3
48,613,8,5,1,8,2
48,682,8,5,0,4,3
48,693,8,6,1,2,1
48,732,8,5,1,8,4
48,827,8,6,1,12,5
48,828,8,6,0,4,2
48,883,8,5,0,4,5
48,893,8,6,0,4,4
48,945,8,5,0,4,5
48,965,8,6,0,4,5
48,972,8,2,0,4,5
48,979,8,5,1,10,1
48,1027,8,6,0,4,2
48,1040,8,5,1,15,3
48,1126,8,6,1,8,3
48,1241,8,6,0,4,2
48,1254,8,5,0,4,5
48,1284,8,5,0,4,2
48,1346,8,5,0,4,5
48,1375,8,6,0,4,5
48,1513,8,3,1,12,4
48,1554,8,5,0,4,2
48,1736,8,6,1,12,5
48,1808,8,5,0,4,4
48,1880,8,6,1,6,5
48,2026,8,5,1,8,5
